timestamp,matrix_size,mac_units,frequency_mhz,compute_time_ms,total_time_ms,power_consumption_w,gflops,efficiency_gflops_w,workload_priority,auto_reconfigure,reconfig_metadata
1756156617.080651,8,24,1000.0,0.17066666666666666,0.0005829933797940612,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080652,8,24,1000.0,0.17066666666666666,0.0006249902071431279,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080653,8,24,1000.0,0.17066666666666666,0.0005409965524449944,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080655,8,24,1000.0,0.17066666666666666,0.0005829933797940612,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.0806558,8,24,1000.0,0.17066666666666666,0.0006250047590583563,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080657,8,24,1000.0,0.17066666666666666,0.0008749921107664704,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080658,8,24,1000.0,0.17066666666666666,0.0006250047590583563,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080659,8,24,1000.0,0.17066666666666666,0.0005840120138600469,18.371173070873837,0.006000000000000001,0.00032659863237109043,balanced,True,
1756156617.080894,16,48,1000.0,1.3653333333333333,0.2299170009791851,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,"{'timestamp': 1756156617.0808861, 'old_mac_units': 24, 'new_mac_units': 48, 'old_frequency': 1000.0, 'new_frequency': 1000.0, 'reconfig_time_ms': 0.2220839960500598, 'mac_change': 24, 'freq_change': 0.0}"
1756156617.080895,16,48,1000.0,1.3653333333333333,0.000667001586407423,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080896,16,48,1000.0,1.3653333333333333,0.000667001586407423,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080897,16,48,1000.0,1.3653333333333333,0.0006249902071431279,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.080898,16,48,1000.0,1.3653333333333333,0.0006250047590583563,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
1756156617.0809002,16,48,1000.0,1.3653333333333333,0.0006250047590583563,51.96152422706632,0.006000000000000001,0.00011547005383792517,balanced,True,
